date,iso_a3,currency_code,country,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_dollar,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
01/01/07,CRI,CRC,Costa Rica,1130,509.535,2.217708303,-0.31127,-0.4178,-0.42153,-0.037,0.56738,,,,,,,
01/01/07,CZE,CZK,Czech Republic,52.1,21.50115,2.423126205,-0.24748,-0.36388,-0.36795,0.0522,0.71256,,,,,,,
01/01/07,DNK,DKK,Denmark,27.75,5.75305,4.823528389,0.49799,0.26628,0.25818,1.09453,2.40905,,,,,,,
01/01/07,EGY,EGP,Egypt,9.09,5.7,1.594736842,-0.50474,-0.58135,-0.58402,-0.30751,0.12709,,,,,,,
01/01/07,EUZ,EUR,Euro area,2.94,0.771813376,3.809210998,0.18298,0,-0.0064,0.65408,1.69218,,,,,,,
01/01/07,GBR,GBP,Britain,1.94,0.506034461,3.833731,0.1906,0.00644,0,0.66473,1.70951,,,,,,,
01/01/07,HKG,HKD,Hong Kong,12,7.79845,1.538767319,-0.52212,-0.59604,-0.59862,-0.33182,0.08753,,,,,,,
01/01/07,HUN,HUF,Hungary,590,194.4237,3.034609464,-0.05757,-0.20335,-0.20844,0.31772,1.14472,,,,,,,
01/01/07,IDN,IDR,Indonesia,15900,9090,1.749174917,-0.45678,-0.5408,-0.54374,-0.24045,0.23624,,,,,,,
01/01/07,JPN,JPY,Japan,280,121.585,2.302915656,-0.28481,-0.39543,-0.3993,0,0.6276,,,,,,,
01/01/07,KOR,KRW,South Korea,2900,940.15,3.084614157,-0.04205,-0.19022,-0.1954,0.33944,1.18007,,,,,,,
01/01/07,LKA,LKR,Sri Lanka,190,102.955,1.845466466,-0.42687,-0.51553,-0.51862,-0.19864,0.30429,,,,,,,
